Hour,Minute,Price_now,Percentage,Volume
6,20,7121.25,-0.0047,43887708
6,21,7128.75,-0.0047,44371771
6,22,7121.25,-0.0057,45776935
6,23,7125.25,-0.0056,46082523
6,24,7125.25,-0.0049,46330643
6,25,7123.25,-0.0054,46963530
6,26,7123.25,-0.0059,47237440
6,27,7127.75,-0.0053,47642866
6,28,7129.25,-0.0063,47957504
6,29,7129.75,-0.0059,48298036
6,30,7129.75,-0.0059,48441084
6,31,7129.75,-0.0056,48571820
6,32,7129.25,-0.005,48988106
6,33,7128.75,-0.0044,49259220
6,34,7124.25,-0.0046,49997543
6,35,7124.25,-0.0043,50220100
6,36,7124.25,-0.0044,50820242
6,37,7124.25,-0.0043,50999978
6,38,7115.75,-0.0064,52295272
6,39,7113.25,-0.0062,53074398
6,40,7104.25,-0.0078,54359482
6,41,7107.25,-0.0076,55073971
6,42,7105.25,-0.0078,55412390
6,43,7105.25,-0.0076,55712019
6,44,7109.75,-0.0084,56227497
6,45,7109.75,-0.0089,56387155
6,46,7118.25,-0.0077,57310427
6,47,7118.25,-0.0078,57437782
6,48,7118.25,-0.0077,57574456
6,49,7119.75,-0.0075,57850023
6,50,7125.25,-0.0072,58667331
6,51,7125.25,-0.0072,59151512
6,52,7123.25,-0.0112,59514205
6,53,7115.25,-0.0109,60799354
6,54,7115.25,-0.0138,61009132
6,55,7115.25,-0.0138,61137676
6,56,7118.75,-0.0135,61413175
6,57,7118.75,-0.0133,61589704
6,58,7110.25,-0.0159,62371768
6,59,7105.75,-0.0147,63630131
7,1,7094.75,-0.015,2319615
7,2,7083.25,-0.0184,8289005
7,3,7089.25,-0.0174,9269437
7,4,7086.25,-0.0182,10070669
7,5,7090.25,-0.0177,10392672
7,6,7089.25,-0.0181,11123932
7,7,7093.75,-0.0183,11684960
7,8,7093.75,-0.0183,11992061
7,9,7093.75,-0.0184,12048076
7,10,7094.75,-0.0182,12196295
7,11,7094.75,-0.017,12245014
7,12,7100.75,-0.0148,12683611
7,13,7104.75,-0.0141,13254621
7,14,7114.25,-0.0097,14250820
7,15,7114.25,-0.0102,14643826
7,16,7113.25,-0.0104,15172570
7,17,7112.25,-0.0098,15539021
7,18,7109.25,-0.0104,15866627
7,19,7109.25,-0.0109,16023177
7,20,7108.75,-0.012,16119241
7,21,7112.75,-0.0122,16828195
7,22,7121.25,-0.0116,18796837
7,23,7124.75,-0.0102,19548826
7,24,7118.25,-0.0106,20175871
7,25,7119.75,-0.0117,20357219
7,26,7119.75,-0.0121,20543486
7,27,7119.75,-0.012,20615772
7,28,7115.75,-0.0126,21405147
7,29,7109.75,-0.0135,21867724
7,30,7109.75,-0.0134,22062324
7,31,7112.75,-0.0128,22238882
7,32,7119.25,-0.0121,22748496
7,33,7119.25,-0.0121,22961847
7,34,7116.75,-0.0124,23300858
7,35,7134.75,-0.0115,26544693
7,36,7132.75,-0.0118,28586843
7,37,7128.25,-0.0125,29405910
7,38,7131.25,-0.0119,30739988
7,39,7139.25,-0.012,31284272
7,40,7140.25,-0.0117,32223667
7,41,7140.75,-0.0117,33180237
7,42,7135.75,-0.0116,34226225
7,43,7135.75,-0.0113,34394671
7,44,7135.75,-0.0112,34725370
7,45,7144.75,-0.01,35926913
7,46,7140.25,-0.0103,36333317
7,48,7140.25,-0.0097,36511980
7,49,7142.75,-0.0094,36789241
7,50,7142.75,-0.0089,37052218
7,51,7138.75,-0.0092,37641123
7,52,7136.75,-0.0092,38086532
7,53,7131.25,-0.0101,38591795
7,54,7138.25,-0.0092,41282796
7,55,7139.25,-0.0096,41732342
7,56,7143.75,-0.0098,42540548
7,57,7144.75,-0.0097,43151601
7,58,7147.75,-0.0092,43566813
7,59,7147.75,-0.0095,44114724
8,0,7139.75,-0.009,168268
8,1,7149.25,-0.007,3673665
8,2,7155.75,-0.0061,6522310
8,3,7155.75,-0.0057,8215665
8,4,7152.75,-0.0045,8927228
8,5,7154.75,-0.0046,9360561
8,6,7154.25,-0.003,9911582
8,7,7159.25,-0.0002,10627644
8,8,7154.75,0.0006,12332835
8,9,7149.25,-0.001,13257592
8,10,7142.75,-0.0003,14208228
8,11,7135.25,-0.0007,16959015
8,12,7139.75,-0.0003,17417491
8,13,7137.25,-0.0016,17881113
8,14,7136.75,-0.0025,18909574
8,15,7136.75,-0.0024,19003825
8,16,7136.75,-0.0022,19054292
8,17,7136.75,-0.0022,19148197
8,18,7132.75,-0.004,20035211
8,19,7131.75,-0.0046,21287377
8,20,7131.75,-0.0052,21414642
8,21,7142.25,-0.0037,22998080
8,22,7145.75,-0.0029,23842634
8,23,7148.75,-0.0022,25208468
8,24,7151.75,-0.0029,25623452
8,25,7150.75,-0.003,26595812
8,26,7154.75,-0.0015,27916958
8,27,7158.25,-0.0021,28601124
8,28,7160.25,-0.0003,29901168
8,29,7163.75,0.0006,31652258
8,30,7172.25,0.0019,37230840
8,31,7169.25,0.0012,41442984
8,32,7160.25,-0.0003,43528202
8,33,7157.25,-0.0003,44902926
8,34,7153.75,-0.001,47219916
8,35,7152.75,-0.0013,47746621
8,37,7151.75,0.0005,48869580
8,38,7156.25,0.0019,49561850
8,39,7162.75,0.0034,50697791
8,40,7162.75,0.0026,50833732
8,41,7162.75,0.0036,51184032
8,42,7168.25,0.0053,52397052
8,43,7171.75,0.0064,53880704
8,44,7177.75,0.0084,54635767
8,45,7176.75,0.0089,55080162
8,46,7170.25,0.008,55647708
8,47,7176.25,0.0067,56440198
8,48,7175.25,0.0064,57850973
8,49,7167.75,0.0071,58107313
8,50,7157.75,0.0055,60077724
8,51,7159.25,0.0055,61778036
8,52,7169.75,0.0062,62507266
8,53,7169.25,0.0056,62987915
8,54,7170.75,0.0053,63305271
8,55,7170.75,0.005,63736791
8,56,7164.75,0.0053,64070562
8,57,7160.25,0.0045,65152685
8,58,7155.75,0.0039,65918931
8,59,7159.25,0.0046,66285992
9,0,7160.25,0.0051,623775
9,1,7150.75,0.004,2382172
9,2,7155.75,0.0034,3817710
9,3,7158.75,0.0015,4257303
9,4,7170.25,0.0047,6621726
9,5,7176.75,0.006,8082922
9,6,7175.25,0.0057,8408132
9,7,7168.25,0.0046,9085883
9,8,7162.75,0.0028,9392332
9,9,7171.25,0.0037,10244044
9,10,7168.25,0.0043,10479105
9,11,7160.25,0.0034,12038477
9,12,7160.25,0.0032,12199413
9,13,7155.75,0.0016,12793294
9,14,7164.75,0.0027,14161943
9,15,7162.25,0.0017,14675623
9,16,7155.25,0.0019,15659809
9,17,7152.75,0.0032,16327765
9,18,7154.25,0.0036,17098614
9,19,7151.75,0.0044,17714505
9,20,7151.25,0.0044,18003631
9,21,7151.25,0.0052,18217531
9,22,7155.25,0.0051,18558935
9,23,7156.25,0.0065,19038766
9,25,7156.25,0.0052,19306165
9,26,7156.25,0.0041,19407607
9,27,7151.75,0.0052,19903324
9,28,7141.75,0.005,21874189
9,29,7138.25,0.0051,23238811
9,30,7143.75,0.0059,24691626
9,31,7139.25,0.0054,25763137
9,32,7128.25,0.0039,28156851
9,33,7130.75,0.0056,32759509
